models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,10,0.58762,0.416049,0.48717,0.542995,674,473,1012,946
lgbm+lstm+xgb+cnn_lstm,4,0.587604,0.304321,0.400976,0.525604,493,346,1139,1127
catboost+gru+lgbm+rf+xgb+cnn_lstm,6,0.587601,0.269136,0.369179,0.520129,436,306,1179,1184
lgbm+lstm,2,0.587467,0.277778,0.3772,0.521417,450,316,1169,1170
gru+lgbm+lstm+xgb+cnn_lstm,5,0.587396,0.304938,0.401463,0.525604,494,347,1138,1126
gru+lgbm+lstm+tcn+xgb+cnn_lstm,6,0.587396,0.304938,0.401463,0.525604,494,347,1138,1126
catboost+cnn+gru+lgbm+xgb,5,0.587302,0.342593,0.432749,0.531401,555,390,1095,1065
catboost+cnn+gru+lgbm+tcn+xgb,6,0.587302,0.342593,0.432749,0.531401,555,390,1095,1065
cnn+lstm+rf+xgb,4,0.587027,0.335185,0.426719,0.530113,543,382,1103,1077
catboost+cnn+lgbm+logreg+rf+cnn_lstm,6,0.586882,0.425309,0.4932,0.543961,689,485,1000,931
cnn+gru+logreg+rf,4,0.586867,0.264815,0.364951,0.519163,429,302,1183,1191
catboost+cnn+gru+logreg+lstm+rf,6,0.586641,0.374074,0.456841,0.53591,606,427,1058,1014
catboost+lgbm+logreg+cnn_lstm,4,0.586453,0.406173,0.479942,0.540741,658,464,1021,962
catboost+cnn+gru+lgbm+logreg+rf+cnn_lstm,7,0.586383,0.425309,0.493023,0.543639,689,486,999,931
catboost+cnn+gru+lgbm+logreg+rf+tcn+cnn_lstm,8,0.586383,0.425309,0.493023,0.543639,689,486,999,931
cnn+gru+logreg+lstm+rf+xgb,6,0.586364,0.318519,0.4128,0.527214,516,364,1121,1104
catboost+gru+lgbm+logreg+rf+xgb,6,0.586359,0.329012,0.42151,0.528824,533,376,1109,1087
cnn+gru+lstm+rf+xgb,5,0.586207,0.335802,0.427002,0.529791,544,384,1101,1076
cnn+gru+lstm+rf+tcn+xgb,6,0.586207,0.335802,0.427002,0.529791,544,384,1101,1076
cnn+lgbm+logreg+lstm+rf+xgb,6,0.586042,0.378395,0.459865,0.536232,613,433,1052,1007
cnn+lgbm+lstm+rf,4,0.586022,0.33642,0.427451,0.529791,545,385,1100,1075
lgbm+rf+xgb+cnn_lstm,4,0.585947,0.288272,0.386429,0.522383,467,330,1155,1153
catboost+gru+lgbm+logreg+cnn_lstm,5,0.585931,0.406173,0.479767,0.540419,658,465,1020,962
catboost+gru+lgbm+logreg+tcn+cnn_lstm,6,0.585931,0.406173,0.479767,0.540419,658,465,1020,962
catboost+rf,2,0.585921,0.349383,0.437742,0.531723,566,400,1085,1054
catboost+gru+rf,3,0.585921,0.349383,0.437742,0.531723,566,400,1085,1054
