models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+gru+lgbm+logreg+rf+xgb+cnn_lstm,7,0.590361,0.302469,0.4,0.52657,490,340,1145,1130
catboost+cnn+gru+lstm+xgb,5,0.590143,0.280864,0.380594,0.523027,455,316,1169,1165
cnn+gru+lgbm+tcn+xgb,5,0.590116,0.250617,0.35182,0.518196,406,282,1203,1214
cnn+gru+rf+xgb,4,0.590078,0.279012,0.378877,0.522705,452,314,1171,1168
catboost+gru+logreg+lstm+tcn+xgb,6,0.59,0.291358,0.390083,0.524638,472,328,1157,1148
catboost+gru+tcn,3,0.59,0.03642,0.068605,0.484058,59,41,1444,1561
gru+logreg+lstm+rf+xgb+cnn_lstm,6,0.589901,0.295679,0.393914,0.525282,479,333,1152,1141
cnn+gru+lstm+rf+tcn,5,0.589844,0.27963,0.379397,0.522705,453,315,1170,1167
cnn+gru+logreg+lstm+xgb,5,0.589774,0.306173,0.403088,0.526892,496,345,1140,1124
catboost+gru+lgbm+logreg+lstm+rf+tcn,7,0.589744,0.298148,0.396064,0.525604,483,336,1149,1137
catboost+gru+lgbm+logreg+lstm+tcn,6,0.589636,0.259877,0.360754,0.519485,421,293,1192,1199
gru+logreg+rf+tcn+xgb,5,0.58961,0.280247,0.379916,0.522705,454,316,1169,1166
catboost+gru+logreg+tcn+xgb,5,0.589542,0.278395,0.378197,0.522383,451,314,1171,1169
catboost+cnn+gru+lgbm+xgb,5,0.589502,0.27037,0.370715,0.521095,438,305,1180,1182
cnn+gru+logreg+lstm+tcn+xgb+cnn_lstm,7,0.589485,0.325309,0.419252,0.529791,527,367,1118,1093
cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.589462,0.331481,0.424338,0.530757,537,374,1111,1083
gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.589461,0.296914,0.39491,0.525282,481,335,1150,1139
cnn+gru+lgbm+lstm+xgb+cnn_lstm,6,0.589378,0.280864,0.380435,0.522705,455,317,1168,1165
catboost+cnn+gru+lstm+rf+tcn,6,0.589372,0.301235,0.398693,0.525926,488,340,1145,1132
cnn+gru+lgbm+logreg+lstm+tcn+xgb,7,0.589327,0.31358,0.409347,0.527858,508,354,1131,1112
catboost+cnn+gru+lgbm+xgb+cnn_lstm,6,0.589286,0.285185,0.384359,0.523349,462,322,1163,1158
cnn+gru+lgbm+lstm+tcn+xgb+cnn_lstm,7,0.589286,0.285185,0.384359,0.523349,462,322,1163,1158
catboost+cnn+gru+lstm+rf,5,0.589242,0.297531,0.395406,0.525282,482,336,1149,1138
cnn+gru+lstm+rf,4,0.589239,0.27716,0.376994,0.522061,449,313,1172,1171
catboost+cnn+gru+lgbm+logreg+lstm+tcn+xgb,8,0.589207,0.330247,0.423259,0.530435,535,373,1112,1085
cnn+gru+lgbm+lstm+rf+xgb,6,0.589196,0.289506,0.388245,0.523994,469,327,1158,1151
cnn+gru+lgbm+tcn+xgb+cnn_lstm,6,0.589189,0.269136,0.369492,0.520773,436,304,1181,1184
gru+rf+tcn+xgb+cnn_lstm,5,0.589181,0.248765,0.349826,0.517552,403,281,1204,1217
cnn+gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,8,0.589165,0.322222,0.4166,0.529147,522,364,1121,1098
catboost+gru+logreg+lstm+xgb,5,0.589128,0.287654,0.386562,0.523671,466,325,1160,1154
catboost+cnn+gru+lgbm+lstm+tcn+xgb,7,0.589109,0.293827,0.392092,0.524638,476,332,1153,1144
catboost+cnn+gru+lgbm+logreg+lstm+rf+xgb,8,0.589071,0.332716,0.425247,0.530757,539,376,1109,1081
cnn+gru+lgbm+rf+tcn+xgb,6,0.589005,0.277778,0.377517,0.522061,450,314,1171,1170
catboost+gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,8,0.588796,0.304938,0.401789,0.526248,494,345,1140,1126
gru+lgbm+lstm+xgb+cnn_lstm,5,0.58871,0.225309,0.325893,0.513688,365,255,1230,1255
catboost+cnn+gru+lstm+xgb+cnn_lstm,6,0.588661,0.301235,0.39853,0.525604,488,341,1144,1132
catboost+cnn+gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,9,0.588614,0.338272,0.429635,0.531401,548,383,1102,1072
catboost+cnn+gru+lstm+tcn+xgb+cnn_lstm,7,0.588517,0.303704,0.400651,0.525926,492,344,1141,1128
