,DNN:dnn_grad,DNN:dnn_perm,LightGBM:lgb_split,LightGBM:lgb_gain,LightGBM:lgb_perm,LightGBM:lgb_shap,LogReg_L1:lr_l1_coef,LogReg_L1:lr_l1_perm,LogReg_L2:lr_l2_coef,LogReg_L2:lr_l2_perm,RandomForest:rf_gini,RandomForest:rf_perm,RandomForest:rf_shap,XGBoost:xgb_weight,XGBoost:xgb_gain,XGBoost:xgb_cover,XGBoost:xgb_perm,XGBoost:xgb_shap
macd_positive,0.012645427,0.0024131536483764,0,0.0,0.0,0.0,0.008897653629847,-0.0022522522522523,0.0124252846543283,-0.0046653796653796,0.002297808082349,-7.401486830834377e-17,0.0004399122798338,0.0,0.0,0.0,0.0003217503217502,0.003688513
macd_rising,0.017637508,-0.0091698765754699,20,101.14486134052277,-0.003056628056628,0.0201684138099162,0.0662328859294149,0.0001608751608751,0.0655844070238031,-0.0009652509652509,0.0025952404841743,0.0043436293436293,0.0005575930817409,0.0,0.0,0.0,-0.0006435006435006,0.025151083
obv_rising_24h,0.013100246,0.0009652972221374,20,82.41937029361725,-0.0009652509652509,0.0045456938753052,0.0053907664567852,0.0019305019305018,0.0063307157476782,0.0037001287001287,0.0029449616890629,0.0017696267696267,0.000343878313082,0.0,0.0,0.0,0.0033783783783783,0.0071559343
stoch_overbought,0.011848359,0.0019305348396301,1,4.382050037384033,0.0,0.0001460780941682,0.0163769368715848,0.0014478764478763,0.0191618456823321,0.0025740025740026,0.0017702977998537,0.001126126126126,0.0015195755869971,0.0,0.0,0.0,-0.0008043758043758,0.0047779917
stoch_oversold,0.009912439,0.0033783912658691,1,4.796440124511719,0.0,0.0001889699491642,0.0096296679774856,0.0033783783783783,0.0093371640691527,-0.0014478764478763,0.0024484393151257,0.0003217503217502,0.0010617219457202,0.0,0.0,0.0,0.0,6.733021e-05
cci_overbought,0.009453356,0.0038610100746154,1,3.8113300800323486,0.0008043758043757,0.0025441673398974,0.0432457056664498,0.0048262548262547,0.0477065831241431,0.0061132561132561,0.0013535673745847,0.0017696267696267,0.0005570948066229,0.0,0.0,0.0,-0.0014478764478764,0.0065967613
cci_oversold,0.014761641,-0.0004826188087463,1,6.706069946289063,0.0001608751608751,0.0005470964179608,0.0331264857598538,0.0043436293436293,0.0359650989800439,0.0038610038610039,0.0021359994278882,-0.0003217503217503,0.0009636437142172,0.0,0.0,0.0,-0.0006435006435006,0.0022349083
oversold_reversal,0.0065985746,-0.0024130940437316,8,13.358790814876556,-0.0003217503217503,0.003779546408235,0.0246281071522879,-0.0041827541827541,0.0263097756752318,-0.0045045045045044,0.0006333576298251,0.0001608751608751,4.700772027679017e-05,0.0,0.0,0.0,0.0014478764478764,0.0028576732
overbought_reversal,0.009450649,-0.0043436288833618,4,10.93792986869812,0.0008043758043757,0.0009833088715088,0.0069447113283847,0.0004826254826254,0.0074950689334746,0.0001608751608752,0.0011208666110171,0.0003217503217503,0.0001144097628938,0.0,0.0,0.0,-0.0003217503217503,0.0032062363
momentum_alignment,0.010046069,0.0019305348396301,15,95.79354977607728,-0.0022522522522522,0.0144081504779672,0.0072205464736068,-0.0032175032175032,0.0078938103813328,-0.002091377091377,0.0026223717863961,0.0008043758043757,0.0005127057669956,0.0,0.0,0.0,-0.0014478764478764,0.009542905
volume_breakout,0.0051238746,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_breakdown,0.010732233,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resistance_level,0.0070797326,0.0019305348396301,91,455.6558002233505,-0.0001608751608751,0.043185862958383,0.0,0.0,0.1114038300490833,-0.0045045045045044,0.0219547259737725,0.0006435006435006,0.0013579416445652,0.0,0.0,0.0,-0.0009652509652509,0.04970872
support_level,0.0076941005,0.0,104,445.4730193018913,0.0001608751608751,0.0394808747272465,0.0,0.0,0.4344931586441604,0.0102960102960103,0.0220543857035937,-0.0017696267696268,0.0015922436646695,0.0,0.0,0.0,0.0,0.04140094
trend_alignment,0.009263036,-0.0135135054588317,2,12.129930019378662,0.0,0.0008165257390509,0.0209672597579017,0.0001608751608751,0.0254292843086471,0.0037001287001287,0.0011839154987023,-0.0012870012870013,0.0003066706051778,0.0,0.0,0.0,-0.0017696267696267,0.01786489
